GPU: AMD Radeon RX 7900 XT (ROCm)
  torch.compile: enabled (inductor)
  AMP: enabled (fp16)
  SDPA backend: default
=== Co-Training [jolly-crane] ===
Device: cuda
Batch size: 16
Total steps: 1000
Variants: small, base, large
LR: 3.00e-04

  small: 8,936,960 params (256d/8L)
  base: 34,651,136 params (512d/8L)
  large: 66,909,440 params (640d/10L)

Generating shared validation set...
  [small] torch.compile enabled
  [base] torch.compile enabled
  [large] torch.compile enabled

Starting training from step 0
  [small] JSONL: /home/tas/pawn/bench/results/clm-bench/sweep/v1_cotrain_b16/run_20260528_221513_small_jolly-crane/metrics.jsonl
  [base] JSONL: /home/tas/pawn/bench/results/clm-bench/sweep/v1_cotrain_b16/run_20260528_221514_base_jolly-crane/metrics.jsonl
  [large] JSONL: /home/tas/pawn/bench/results/clm-bench/sweep/v1_cotrain_b16/run_20260528_221514_large_jolly-crane/metrics.jsonl

  large: loss 5.9036 | acc 0.039 | lr 2.64e-04 | gn 0.59
step     280 | 63 g/s | 0.25s | active: small, base, large
  small: loss 6.5585 | acc 0.043 | lr 2.63e-04 | gn 0.70
   base: loss 5.9017 | acc 0.042 | lr 2.63e-04 | gn 0.50
  large: loss 5.8087 | acc 0.040 | lr 2.63e-04 | gn 0.57
step     285 | 64 g/s | 0.25s | active: small, base, large
  small: loss 6.4498 | acc 0.044 | lr 2.61e-04 | gn 0.73
   base: loss 5.8527 | acc 0.046 | lr 2.61e-04 | gn 0.60
  large: loss 5.7647 | acc 0.041 | lr 2.61e-04 | gn 0.75
step     290 | 63 g/s | 0.25s | active: small, base, large
  small: loss 6.3828 | acc 0.050 | lr 2.60e-04 | gn 0.60
   base: loss 5.7783 | acc 0.050 | lr 2.60e-04 | gn 0.67
  large: loss 5.6915 | acc 0.050 | lr 2.60e-04 | gn 0.74
step     295 | 64 g/s | 0.25s | active: small, base, large
  small: loss 6.4224 | acc 0.041 | lr 2.58e-04 | gn 0.58
   base: loss 5.8599 | acc 0.041 | lr 2.58e-04 | gn 0.70
  large: loss 5.7697 | acc 0.040 | lr 2.58e-04 | gn 0.81
step     300 | 64 g/s | 0.25s | active: small, base, large
  small: loss 6.2918 | acc 0.044 | lr 2.56e-04 | gn 0.50
   base: loss 5.7397 | acc 0.038 | lr 2.56e-04 | gn 0.72
  large: loss 5.6735 | acc 0.038 | lr 2.56e-04 | gn 0.78
step     305 | 64 g/s | 0.25s | active: small, base, large
  small: loss 6.3390 | acc 0.042 | lr 2.55e-04 | gn 0.50
   base: loss 5.8043 | acc 0.043 | lr 2.55e-04 | gn 0.71
  large: loss 5.7302 | acc 0.043 | lr 2.55e-04 | gn 0.82
step     310 | 63 g/s | 0.25s | active: small, base, large
  small: loss 6.1551 | acc 0.051 | lr 2.53e-04 | gn 0.58
   base: loss 5.6112 | acc 0.045 | lr 2.53e-04 | gn 0.78
  large: loss 5.5523 | acc 0.051 | lr 2.53e-04 | gn 0.97
step     315 | 63 g/s | 0.25s | active: small, base, large
  small: loss 6.3275 | acc 0.034 | lr 2.51e-04 | gn 0.58
   base: loss 5.8190 | acc 0.033 | lr 2.51e-04 | gn 0.79
  large: loss 5.7720 | acc 0.039 | lr 2.51e-04 | gn 0.76
step     320 | 64 g/s | 0.25s | active: small, base, large
  small: loss 6.2056 | acc 0.039 | lr 2.50e-04 | gn 0.56
   base: loss 5.6900 | acc 0.039 | lr 2.50e-04 | gn 0.81
  large: loss 5.6389 | acc 0.038 | lr 2.50e-04 | gn 0.80
step     325 | 64 g/s | 0.25s | active: small, base, large
  small: loss 6.1648 | acc 0.042 | lr 2.48e-04 | gn 0.50
   base: loss 5.6107 | acc 0.050 | lr 2.48e-04 | gn 0.84
  large: loss 5.5574 | acc 0.044 | lr 2.48e-04 | gn 0.81
step     330 | 63 g/s | 0.25s | active: small, base, large
  small: loss 5.8789 | acc 0.049 | lr 2.46e-04 | gn 0.65
