GPU: AMD Radeon RX 7900 XT (ROCm)
  torch.compile: enabled (inductor)
  AMP: enabled (fp16)
  SDPA backend: default
=== Co-Training [fair-otter] ===
Device: cuda
Batch size: 32
Total steps: 1000
Variants: small, base, large
LR: 3.00e-04

  small: 8,936,960 params (256d/8L)
  base: 34,651,136 params (512d/8L)
  large: 66,909,440 params (640d/10L)

Generating shared validation set...
  [small] torch.compile enabled
  [base] torch.compile enabled
  [large] torch.compile enabled

Starting training from step 0
  [small] JSONL: /home/tas/pawn/bench/results/clm-bench/sweep/v1_cotrain_b32/run_20260528_222643_small_fair-otter/metrics.jsonl
  [base] JSONL: /home/tas/pawn/bench/results/clm-bench/sweep/v1_cotrain_b32/run_20260528_222643_base_fair-otter/metrics.jsonl
  [large] JSONL: /home/tas/pawn/bench/results/clm-bench/sweep/v1_cotrain_b32/run_20260528_222644_large_fair-otter/metrics.jsonl

  small: loss 6.0059 | acc 0.039 | lr 2.58e-04 | gn 0.75
   base: loss 5.3628 | acc 0.039 | lr 2.58e-04 | gn 1.11
  large: loss 5.1812 | acc 0.047 | lr 2.58e-04 | gn 0.95
step     300 | 64 g/s | 0.50s | active: small, base, large
  small: loss 5.8111 | acc 0.045 | lr 2.56e-04 | gn 0.79
   base: loss 5.1808 | acc 0.049 | lr 2.56e-04 | gn 1.28
  large: loss 4.9971 | acc 0.054 | lr 2.56e-04 | gn 1.00
step     305 | 64 g/s | 0.50s | active: small, base, large
  small: loss 5.7747 | acc 0.046 | lr 2.55e-04 | gn 0.72
   base: loss 5.1733 | acc 0.051 | lr 2.55e-04 | gn 1.06
  large: loss 5.0071 | acc 0.052 | lr 2.55e-04 | gn 0.89
step     310 | 64 g/s | 0.50s | active: small, base, large
  small: loss 5.8136 | acc 0.047 | lr 2.53e-04 | gn 0.96
   base: loss 5.1995 | acc 0.044 | lr 2.53e-04 | gn 1.28
  large: loss 5.0306 | acc 0.049 | lr 2.53e-04 | gn 0.98
step     315 | 64 g/s | 0.50s | active: small, base, large
  small: loss 5.8749 | acc 0.041 | lr 2.51e-04 | gn 0.72
   base: loss 5.3060 | acc 0.042 | lr 2.51e-04 | gn 1.09
  large: loss 5.1307 | acc 0.047 | lr 2.51e-04 | gn 1.40
step     320 | 65 g/s | 0.50s | active: small, base, large
  small: loss 5.7806 | acc 0.036 | lr 2.50e-04 | gn 0.79
   base: loss 5.2230 | acc 0.043 | lr 2.50e-04 | gn 1.39
  large: loss 5.0613 | acc 0.048 | lr 2.50e-04 | gn 1.02
step     325 | 64 g/s | 0.50s | active: small, base, large
  small: loss 5.7045 | acc 0.045 | lr 2.48e-04 | gn 0.90
   base: loss 5.1599 | acc 0.051 | lr 2.48e-04 | gn 1.29
  large: loss 4.9961 | acc 0.052 | lr 2.48e-04 | gn 1.34
step     330 | 64 g/s | 0.50s | active: small, base, large
  small: loss 5.5501 | acc 0.045 | lr 2.46e-04 | gn 0.88
   base: loss 5.0225 | acc 0.051 | lr 2.46e-04 | gn 1.23
  large: loss 4.8742 | acc 0.054 | lr 2.46e-04 | gn 1.33
step     335 | 64 g/s | 0.50s | active: small, base, large
  small: loss 5.7175 | acc 0.039 | lr 2.44e-04 | gn 0.76
   base: loss 5.1770 | acc 0.048 | lr 2.44e-04 | gn 1.32
  large: loss 5.0021 | acc 0.047 | lr 2.44e-04 | gn 2.18
step     340 | 64 g/s | 0.50s | active: small, base, large
  small: loss 5.6561 | acc 0.042 | lr 2.43e-04 | gn 0.90
   base: loss 5.1185 | acc 0.047 | lr 2.43e-04 | gn 1.27
  large: loss 4.9761 | acc 0.048 | lr 2.43e-04 | gn 1.45
step     345 | 64 g/s | 0.50s | active: small, base, large
  small: loss 5.5612 | acc 0.050 | lr 2.41e-04 | gn 0.85
   base: loss 5.0150 | acc 0.052 | lr 2.41e-04 | gn 1.41
  large: loss 4.8496 | acc 0.054 | lr 2.41e-04 | gn 1.67
step     350 | 64 g/s | 0.50s | active: small, base, large
  small: loss 5.6633 | acc 0.043 | lr 2.39e-04 | gn 0.65
   base: loss 5.0992 | acc 0.049 | lr 2.39e-04 | gn 1.56
  large: loss 4.9634 | acc 0.051 | lr 2.39e-04 | gn 1.88
step     355 | 64 g/s | 0.50s | active: small, base, large
  small: loss 5.5834 | acc 0.046 | lr 2.37e-04 | gn 0.85
   base: loss 5.0308 | acc 0.049 | lr 2.37e-04 | gn 1.83
  large: loss 4.8866 | acc 0.052 | lr 2.37e-04 | gn 1.58
step     360 | 64 g/s | 0.50s | active: small, base, large
  small: loss 5.6208 | acc 0.043 | lr 2.35e-04 | gn 0.82
   base: loss 5.0447 | acc 0.046 | lr 2.35e-04 | gn 1.75
  large: loss 4.9030 | acc 0.048 | lr 2.35e-04 | gn 2.20
step     365 | 64 g/s | 0.50s | active: small, base, large
  small: loss 5.4770 | acc 0.048 | lr 2.33e-04 | gn 1.23
   base: loss 4.8830 | acc 0.055 | lr 2.33e-04 | gn 1.69
  large: loss 4.7449 | acc 0.052 | lr 2.33e-04 | gn 2.20
step     370 | 64 g/s | 0.50s | active: small, base, large
  small: loss 5.4456 | acc 0.048 | lr 2.31e-04 | gn 1.04
   base: loss 4.8929 | acc 0.052 | lr 2.31e-04 | gn 1.84
  large: loss 4.7456 | acc 0.058 | lr 2.31e-04 | gn 1.48
step     375 | 64 g/s | 0.50s | active: small, base, large
  small: loss 5.4573 | acc 0.047 | lr 2.29e-04 | gn 0.82
   base: loss 4.9076 | acc 0.049 | lr 2.29e-04 | gn 2.31
  large: loss 4.7518 | acc 0.055 | lr 2.29e-04 | gn 2.13
step     380 | 64 g/s | 0.50s | active: small, base, large
  small: loss 5.5948 | acc 0.044 | lr 2.27e-04 | gn 0.98
   base: loss 5.0530 | acc 0.049 | lr 2.27e-04 | gn 2.26
  large: loss 4.9157 | acc 0.050 | lr 2.27e-04 | gn 2.97
step     385 | 64 g/s | 0.50s | active: small, base, large
  small: loss 5.4263 | acc 0.051 | lr 2.25e-04 | gn 1.03
   base: loss 4.8865 | acc 0.051 | lr 2.25e-04 | gn 1.99
  large: loss 4.7448 | acc 0.053 | lr 2.25e-04 | gn 2.56
step     390 | 64 g/s | 0.50s | active: small, base, large
  small: loss 5.5741 | acc 0.043 | lr 2.23e-04 | gn 0.94
   base: loss 4.9889 | acc 0.049 | lr 2.23e-04 | gn 2.33
  large: loss 4.8270 | acc 0.050 | lr 2.23e-04 | gn 2.10
step     395 | 64 g/s | 0.50s | active: small, base, large
  small: loss 5.4235 | acc 0.044 | lr 2.21e-04 | gn 1.37
   base: loss 4.8760 | acc 0.050 | lr 2.21e-04 | gn 2.43
  large: loss 4.7227 | acc 0.050 | lr 2.21e-04 | gn 2.80
step     400 | 64 g/s | 0.50s | active: small, base, large
  small: loss 5.4007 | acc 0.044 | lr 2.19e-04 | gn 1.94
   base: loss 4.8757 | acc 0.050 | lr 2.19e-04 | gn 2.22
  large: loss 4.7355 | acc 0.052 | lr 2.19e-04 | gn 2.52
step     405 | 64 g/s | 0.50s | active: small, base, large
  small: loss 5.5736 | acc 0.039 | lr 2.17e-04 | gn 1.75
   base: loss 5.0445 | acc 0.042 | lr 2.17e-04 | gn 1.97
  large: loss 4.8946 | acc 0.046 | lr 2.17e-04 | gn 2.30
step     410 | 64 g/s | 0.50s | active: small, base, large
  small: loss 5.4384 | acc 0.044 | lr 2.15e-04 | gn 1.65
   base: loss 4.9225 | acc 0.052 | lr 2.15e-04 | gn 2.31
  large: loss 4.7900 | acc 0.049 | lr 2.15e-04 | gn 2.78
step     415 | 64 g/s | 0.50s | active: small, base, large
  small: loss 5.3475 | acc 0.047 | lr 2.13e-04 | gn 1.44
   base: loss 4.8562 | acc 0.049 | lr 2.13e-04 | gn 2.59
  large: loss 4.7166 | acc 0.050 | lr 2.13e-04 | gn 2.40
step     420 | 64 g/s | 0.50s | active: small, base, large
  small: loss 5.4865 | acc 0.037 | lr 2.11e-04 | gn 1.70
   base: loss 5.0020 | acc 0.043 | lr 2.11e-04 | gn 2.99
  large: loss 4.8478 | acc 0.045 | lr 2.11e-04 | gn 2.33
step     425 | 64 g/s | 0.50s | active: small, base, large
  small: loss 5.3129 | acc 0.046 | lr 2.09e-04 | gn 1.42
   base: loss 4.8813 | acc 0.051 | lr 2.09e-04 | gn 2.79
  large: loss 4.7331 | acc 0.052 | lr 2.09e-04 | gn 2.85
step     430 | 64 g/s | 0.50s | active: small, base, large
  small: loss 5.1078 | acc 0.055 | lr 2.07e-04 | gn 2.04
   base: loss 4.6615 | acc 0.061 | lr 2.07e-04 | gn 3.05
  large: loss 4.5194 | acc 0.063 | lr 2.07e-04 | gn 2.60
step     435 | 64 g/s | 0.50s | active: small, base, large
  small: loss 5.1250 | acc 0.053 | lr 2.05e-04 | gn 1.83
   base: loss 4.6912 | acc 0.059 | lr 2.05e-04 | gn 2.41
